# 知识点频次统计 — 供「下一步学习计划」排序参考
# weight=0.4  历史频次在排序中的权重(0-1,可改):越大越偏「高频知识点优先」,越小越偏「本场暴露严重度优先」
# 维护:每次生成复盘后,已有知识点「出现次数」+1、更新「最近出现」;新知识点加一行;「知识点」列值保持稳定,近义词归并
# 解析:注释行以 # 开头,应跳过;表头为第 4 行
知识点,出现次数,最近出现
算法·回溯/DFS/DP,1,WG0824字节抖音钱包
算法·TopK(堆),1,WG20260901抖音财经（钱包）二面
算法·LRU缓存(哈希表+双向链表),1,20260909浦发银行一面
MySQL·MVCC与隔离级别,2,WG20260827XTransfer
MySQL·索引(最左前缀/覆盖索引),2,20260909浦发银行一面
MySQL·唯一约束与并发插入(幂等),2,20260911易宝支付一面
MySQL·执行计划与索引选择(驱动表/回表/optimizer hint),1,WG20260903领星一面
MySQL·redo/undo log 与事务中间态,1,20260911易宝支付一面
Redis·数据结构与使用场景,1,WG20260902易点云一面
Redis·缓存中间件基础,2,20260911易宝支付一面
Kafka·消息可靠性(ack/不丢消息/顺序消费),1,20260911易宝支付一面
并发·锁实现(synchronized/AQS/可重入),1,WG20260827XTransfer
并发·线程池参数配置(核心/最大/队列/拒绝策略),2,20260911易宝支付一面
分布式·锁与事务,1,WG0824字节抖音钱包
分布式·数据库架构(分片/高可用/分库分表),3,WG20260831多乐游戏一面
分布式·事务(TCC/二阶段/本地消息表/最终一致性),3,20260911易宝支付一面
国产数据库·TDSQL特性,2,WG20260901抖音财经（钱包）二面
架构·异步任务调度与兜底重试,1,20260911易宝支付一面
生产·性能问题排查(CPU打满/线上诊断),1,20260911易宝支付一面
支付业务·幂等/对账/状态机,5,20260911易宝支付一面
支付业务·跨境支付链路/报文系统架构,6,20260911易宝支付一面
数据迁移·断点续传/灰度/双写,1,WG20260831多乐游戏一面
AI/Agent·工程应用,5,20260909浦发银行一面
DDD·领域驱动设计,1,WG20260831复星财富二面
金融业务·股票交易/清结算/财富管理,1,WG20260831复星财富二面
金融业务·汇率(在岸/离岸)与换汇渠道,1,20260911易宝支付一面
软技能·跨组协作/需求偏差推进,1,20260911易宝支付一面
